iter	Passed	Remaining
0	0	40
1	0	39
2	1	37
3	1	34
4	1	34
5	2	34
6	2	34
7	2	33
8	3	33
9	3	32
10	3	32
11	4	31
12	4	31
13	5	31
14	5	31
15	5	30
16	6	30
17	6	30
18	6	29
19	7	29
20	7	29
21	8	29
22	8	28
23	8	28
24	9	28
25	9	27
26	10	27
27	10	27
28	11	27
29	11	27
30	12	27
31	12	27
32	13	27
33	13	27
34	14	26
35	14	26
36	15	25
37	15	25
38	15	25
39	16	24
40	16	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	20	19
52	21	18
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	24	16
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	30	10
75	30	9
76	30	9
77	31	8
78	31	8
79	32	8
80	32	7
81	33	7
82	33	6
83	33	6
84	34	6
85	34	5
86	34	5
87	35	4
88	35	4
89	36	4
90	36	3
91	37	3
92	37	2
93	37	2
94	38	2
95	38	1
96	38	1
97	39	0
98	39	0
99	40	0
